lang,form,PRET.SG,PRET.PL,PTCP,proto_gem_form,links,class_n,Note,Pattern,simple_pattern_sing,simple_pattern_pl
eng,forbid,forbid,forbid,forbidden,furibeudaną,https://en.wiktionary.org//wiki/forbid#English,2,,AAAA,AAA,AAA
eng,choose,chose,chose,chosen,keusaną,https://en.wiktionary.org//wiki/choose#English,2,,ABBB,ABB,ABB
eng,chew,chewed,chewed,chewed,kewwaną,https://en.wiktionary.org//wiki/chew#English,2,,AAAA,AAA,AAA
eng,creep,crept,crept,crept,kreupaną,https://en.wiktionary.org//wiki/creep#English,2,,ABBB,ABB,ABB
eng,lock,locked,locked,locked,lūkaną,https://en.wiktionary.org/wiki/lock#English,2,,AAAA,AAA,AAA
eng,reek,reeked,reeked,reeked,reukaną,https://en.wiktionary.org//wiki/reek#English,2,,AAAA,AAA,AAA
eng,shove,shoved,shoved,shoved,skeubaną,https://en.wiktionary.org//wiki/shove#English,2,,AAAA,AAA,AAA
eng,shoot,shot,shot,shot,skeutaną,https://en.wiktionary.org//wiki/shoot#English,2,,ABBB,ABB,ABB
eng,,,,,sūganą,,2,Died out,D,D,D
eng,sup,supped,supped,supped,sūpaną,https://en.wiktionary.org//wiki/sup#English,2,,AAAA,AAA,AAA
eng,thresh,threshed,threshed,threshed,þreskaną,https://en.wiktionary.org//wiki/thresh#English,3,,AAAA,AAA,AAA
eng,sink,sank,sank,sunk,sinkwaną,https://en.wiktionary.org//wiki/sink#English,3,,ABBC,ABC,ABC
eng,burst,burst,burst,burst,brestaną,https://en.wiktionary.org/wiki/burst#English,3,,AAAA,AAA,AAA
eng,,,,,berganą,,3,Died out,D,D,D
eng,bind,bound,bound,bound,bindaną,https://en.wiktionary.org//wiki/bind#English,3,,ABBB,ABB,ABB
eng,burn,burned,burned,burned,brinnaną,https://en.wiktionary.org//wiki/burn#English,3,,AAAA,AAA,AAA
eng,drink,drank,drank,drunk,drinkaną,https://en.wiktionary.org//wiki/drink#English,3,,ABBC,ABC,ABC
eng,fight,fought,fought,fought,fehtaną,https://en.wiktionary.org//wiki/fight#English,3,,ABBB,ABB,ABB
eng,find,found,found,found,finþaną,https://en.wiktionary.org//wiki/find#English,3,,ABBB,ABB,ABB
eng,yield,yielded,yielded,yielded,geldaną,https://en.wiktionary.org//wiki/yield#English,3,,AAAA,AAA,AAA
eng,help,helped,helped,helped,helpaną,https://en.wiktionary.org//wiki/help#English,3,,AAAA,AAA,AAA
eng,run,ran,ran,run,rinnaną,https://en.wiktionary.org//wiki/run#English,3,,ABBA,ABA,ABA
eng,sing,sang,sang,sung,singwaną,https://en.wiktionary.org//wiki/sing#English,3,,ABBA,ABA,ABA
eng,smell,smelt,smelt,smelt,smeltaną,https://en.wiktionary.org//wiki/smelt#English,3,,AAAA,AAA,AAA
eng,spin,spun,spun,spun,spinnaną,https://en.wiktionary.org//wiki/spin#English,3,,ABBB,ABB,ABB
eng,spring,sprang,sprang,sprung,springaną,https://en.wiktionary.org//wiki/spring#English,3,,ABBC,ABC,ABC
eng,stink,stank,stank,stunk,stinkwaną,https://en.wiktionary.org//wiki/stink#English,3,,ABBC,ABC,ABC
eng,swell,swelled,swelled,swollen,swellaną,https://en.wiktionary.org//wiki/swell#English,3,,AAAB,AAB,AAB
eng,swim,swam,swam,swum,swimmaną,https://en.wiktionary.org//wiki/swim#English,3,,ABBC,ABC,ABC
eng,warp,warped,warped,warped,werpaną,https://en.wiktionary.org//wiki/warp#English,3,,AAAA,AAA,AAA
eng,worth,worthed,worthed,worthed,werþaną,https://en.wiktionary.org/wiki/worth#English,3,,AAAA,AAA,AAA
eng,wind,wound,wound,wound,windaną,https://en.wiktionary.org/wiki/wind#English,3,,ABBB,ABB,ABB
eng,win,won,won,won,winnaną,https://en.wiktionary.org//wiki/win#English,3,,ABBB,ABB,ABB
eng,break,broke,broke,broken,brekaną,https://en.wiktionary.org//wiki/break#English,4,,ABBB,ABB,ABB
eng,bear,beared,beared,beared,beraną,https://en.wiktionary.org//wiki/bear#English,4,,AAAA,AAA,AAA
eng,come,came,came,come,kwemaną,https://en.wiktionary.org//wiki/cum#English,4,,ABBA,ABA,ABA
eng,nim,,,,nemaną,https://en.wiktionary.org//wiki/nim#English,4,,D,D,D
eng,shear,sheared,sheared,sheared,skeraną,https://en.wiktionary.org//wiki/shear#English,4,,AAAA,AAA,AAA
eng,steal,stole,stole,stolen,stelaną,https://en.wiktionary.org//wiki/steal#English,4,,ABBC,ABC,ABC
eng,tread,trod,trod,trodden,trudaną,https://en.wiktionary.org//wiki/tread#English,4,,ABBB,ABB,ABB
eng,weigh,weighed,weighed,weighed,weganą,https://en.wiktionary.org//wiki/weigh#English,5,,AAAA,AAA,AAA
eng,drib,dribbed,dribbed,dribbed,drepaną,https://en.wiktionary.org//wiki/drib#English,5,,AAAA,AAA,AAA
eng,eat,ate,ate,eaten,etaną,https://en.wiktionary.org//wiki/eat#English,5,,ABBA,ABA,ABA
eng,forgive,forgave,forgave,forgiven,fragebaną,https://en.wiktionary.org//wiki/forgive#English,5,,ABBA,ABA,ABA
eng,give,gave,gave,given,gebaną,https://en.wiktionary.org//wiki/give#English,5,,ABBA,ABA,ABA
eng,lease,leased,leased,leased,lesaną,https://en.wiktionary.org//wiki/lease#English,5,,AAAA,AAA,AAA
eng,wreak,wreaked,wreaked,wreaked,wrekaną,https://en.wiktionary.org//wiki/wreak#English,5,,AAAA,AAA,AAA
eng,bid,bid,bid,bid,bidjaną,https://en.wiktionary.org//wiki/bid#English,5,,AAAA,AAA,AAA
eng,lie,lay,lay,lain,ligjaną,https://en.wiktionary.org//wiki/lie#English,5,,ABBB,ABB,ABB
eng,sit,sat,sat,sat,sitjaną,https://en.wiktionary.org//wiki/sit#English,5,,ABBB,ABB,ABB
eng,lade,laded,laded,laden,hlaþaną,https://en.wiktionary.org//wiki/lade#English,6,,AAAA,AAA,AAA
eng,,,,,malaną,,6,Died out,D,D,D
eng,wade,waded,waded,waded,wadaną,https://en.wiktionary.org//wiki/wade#English,6,,AAAA,AAA,AAA
eng,bake,baked,baked,baked,bakaną,https://en.wiktionary.org//wiki/bake#English,6,,AAAA,AAA,AAA
eng,draw,drew,drew,drawn,draganą,https://en.wiktionary.org//wiki/draw#English,6,,ABBA,ABA,ABA
eng,fare,fared,fared,fared,faraną,https://en.wiktionary.org//wiki/fare#English,6,,AAAA,AAA,AAA
eng,gnaw,gnawed,gnawed,gnawed,gnaganą,https://en.wiktionary.org//wiki/gnaw#English,6,,AAAA,AAA,AAA
eng,engrave,engraved,engraved,engraved,grabaną,https://en.wiktionary.org//wiki/engrave#English,6,,AAAA,AAA,AAA
eng,shave,shaved,shaved,shaved,skabaną,https://en.wiktionary.org//wiki/shave#English,6,,AAAA,AAA,AAA
eng,slay,slew,slew,slain,slahaną,https://en.wiktionary.org//wiki/slay#English,6,,ABBA,ABA,ABA
eng,stand,stood,stood,stood,standaną,https://en.wiktionary.org//wiki/stand#English,6,,ABBB,ABB,ABB
eng,heave,heaved,heaved,heaved,habjaną,https://en.wiktionary.org//wiki/heave#English,6,,AAAA,AAA,AAA
eng,laugh,laughed,laughed,laughed,hlahjaną,https://en.wiktionary.org//wiki/laugh#English,6,,AAAA,AAA,AAA
eng,shape,shaped,shaped,shaped,skapjaną,https://en.wiktionary.org//wiki/shape#English,6,,AAAA,AAA,AAA
eng,swear,swore,swore,sworn,swarjaną,https://en.wiktionary.org//wiki/swear#English,6,,ABBB,ABB,ABB
eng,wax,waxed,waxed,waxed,wahsijaną,https://en.wiktionary.org//wiki/wax#English,6,,AAAA,AAA,AAA
eng,hote,,,,haitaną,https://en.wiktionary.org//wiki/hotet#English,7,,D,D,D
eng,hew,hewed,hewed,hewed,hawwaną,https://en.wiktionary.org//wiki/hew#English,7,,AAAA,AAA,AAA
eng,leap,leaped,leaped,leaped,hlaupaną,https://en.wiktionary.org//wiki/leap#English,7,,AAAA,AAA,AAA
eng,ban,banned,banned,banned,bannaną,https://en.wiktionary.org//wiki/ban#English,7,,AAAA,AAA,AAA
eng,hang,hung,hung,hung,hanhaną,https://en.wiktionary.org//wiki/hang#English,7,,ABBB,ABB,ABB
eng,fall,fell,fell,fallen,fallaną,https://en.wiktionary.org//wiki/fall#English,7,,ABBA,ABA,ABA
eng,fang,fanged,fanged,fanged,fanhaną,https://en.wiktionary.org//wiki/fang#English,7,,AAAA,AAA,AAA
eng,hold,held,held,held,haldaną,https://en.wiktionary.org//wiki/haad#English,7,,ABBB,ABB,ABB
eng,wash,washed,washed,washed,waskaną,https://en.wiktionary.org//wiki/wash#English,7,,AAAA,AAA,AAA
eng,blaze,blazed,blazed,blazed,blēsaną,https://en.wiktionary.org/wiki/blaze#English,7,,AAAA,AAA,AAA
eng,greet,greeted,greeted,greeted,grētaną,https://en.wiktionary.org//wiki/greet#English,7,,AAAA,AAA,AAA
eng,sow,sowed,sowed,sown,sēaną,https://en.wiktionary.org//wiki/sow#English,7,,AAAA,AAA,AAA
eng,let,let,let,let,lētaną,https://en.wiktionary.org/wiki/let#English,7,,AAAA,AAA,AAA
eng,read,read,read,read,rēdaną,https://en.wiktionary.org//wiki/rede#English,7,,ABBB,ABB,ABB
eng,glow,glowed,glowed,glowed,glōaną,https://en.wiktionary.org//wiki/glow#English,7,,AAAA,AAA,AAA
fao,riða,reið,riðu,riðin,rīdaną,https://en.wiktionary.org//wiki/r%C3%AD%C3%B0a#Faroese,1,,ABAA,ABA,AAA
fao,biða,biðaði,biðaðu,biðað,bīdaną,https://en.wiktionary.org//wiki/b%C3%AD%C3%B0a#Faroese,1,,AAAA,AAA,AAA
fao,bita,beit,bitu,bitið,bītaną,https://en.wiktionary.org//wiki/b%C3%ADta#Faroese,1,,ABAA,ABA,AAA
fao,skina,skein,skinu,skinið,skīnaną,https://en.wiktionary.org//wiki/sk%C3%ADna#Faroese,1,,ABAA,ABA,AAA
fao,sniða,,,,snīþaną,https://en.wiktionary.org//wiki/sn%C3%AD%C3%B0a#Faroese,1,,,,
fao,risa,reis,risu,risið,rīsaną,https://en.wiktionary.org//wiki/r%C3%ADsa#Faroese,1,,ABAA,ABA,AAA
