lang,form,PRET.SG,PRET.PL,PTCP,proto_gem_form,links,class_n
isl,rjúka,,,,reukaną,https://en.wiktionary.org//wiki/rj%C3%BAka#Icelandic,2
isl,skúfa,,,,skeubaną,https://en.wiktionary.org//w/index.php?title=sk%C3%BAfa&action=edit&redlink=1,2
isl,skjóta,skaut,skutu,skotið,skeutaną,https://en.wiktionary.org//wiki/skj%C3%B3ta#Icelandic,2
isl,sjúga,saug,sugu,sogið,sūganą,https://en.wiktionary.org//wiki/sj%C3%BAga#Icelandic,2
isl,súpa,,,,sūpaną,https://en.wiktionary.org//wiki/s%C3%BApa#Icelandic,2
isl,þreskja,þreskti,þresktu,þreskt,þreskaną,https://en.wiktionary.org//wiki/%C3%BEreskja#Icelandic,3
isl,sökkva,,,,sinkwaną,https://en.wiktionary.org//wiki/s%C3%B6kkva#Icelandic,3
isl,bresta,,,,brestaną,https://en.wiktionary.org//wiki/bresta#Icelandic,3
isl,bjarga,,,,berganą,https://en.wiktionary.org//wiki/bjarga#Icelandic,3
isl,binda,,,,bindaną,https://en.wiktionary.org//wiki/binda#Icelandic,3
isl,brenna,,,,brinnaną,https://en.wiktionary.org//wiki/brenna#Icelandic,3
isl,drekka,,,,drinkaną,https://en.wiktionary.org//wiki/drekka#Icelandic,3
isl,,,,,fehtaną,,3
isl,finna,,,,finþaną,https://en.wiktionary.org//wiki/finna#Icelandic,3
isl,gjalda,galt,guldu,goldið,geldaną,https://en.wiktionary.org//wiki/gjalda#Icelandic,3
isl,hjálpa,,,,helpaną,https://en.wiktionary.org//wiki/hj%C3%A1lpa#Icelandic,3
isl,renna,,,,rinnaną,https://en.wiktionary.org//wiki/renna#Icelandic,3
isl,syngja,,,,singwaną,https://en.wiktionary.org//wiki/syngja#Icelandic,3
isl,smelta,,,,smeltaną,https://en.wiktionary.org//wiki/smelta#Icelandic,3
isl,spinna,spann,spunnu,spunnið,spinnaną,https://en.wiktionary.org//wiki/spinna#Icelandic,3
isl,springa,sprakk,sprungu,sprungið,springaną,https://en.wiktionary.org//wiki/springa#Icelandic,3
isl,stökkva,,,,stinkwaną,https://en.wiktionary.org//wiki/st%C3%B6kkva#Icelandic,3
isl,svella,,,,swellaną,https://en.wiktionary.org//wiki/svella#Icelandic,3
isl,symja,,,,swimmaną,https://en.wiktionary.org//wiki/symja#Icelandic,3
isl,verpa,,,,werpaną,https://en.wiktionary.org//wiki/verpa#Icelandic,3
isl,verða,,,,werþaną,https://en.wiktionary.org//wiki/ver%C3%B0a#Icelandic,3
isl,vinda,,,,windaną,https://en.wiktionary.org//wiki/vinda#Icelandic,3
isl,vinna,,,,winnaną,https://en.wiktionary.org//wiki/vinna#Icelandic,3
isl,,,,,brekaną,,4
isl,bera,,,,beraną,https://en.wiktionary.org//wiki/bera#Icelandic,4
isl,koma,,,,kwemaną,https://en.wiktionary.org//wiki/koma#Icelandic,4
isl,nema,,,,nemaną,https://en.wiktionary.org//wiki/nema#Icelandic,4
isl,skera,,,,skeraną,https://en.wiktionary.org//wiki/skera#Icelandic,4
isl,stela,,,,stelaną,https://en.wiktionary.org//wiki/stela#Icelandic,4
isl,troða,,,,trudaną,https://en.wiktionary.org//wiki/tro%C3%B0a#Icelandic,4
isl,vega,,,,weganą,https://en.wiktionary.org//wiki/vega#Icelandic,5
isl,drepa,drap,drápu,drepið,drepaną,https://en.wiktionary.org//wiki/drepa#Icelandic,5
isl,éta,át,átu,étið,etaną,https://en.wiktionary.org//wiki/%C3%A9ta#Icelandic,5
isl,fyrirgefa,fyrirgaf,fyrirgáfu,fyrirgefið,fragebaną,https://en.wiktionary.org//wiki/fyrirgefa#Icelandic,5
isl,gefa,,,,gebaną,https://en.wiktionary.org//wiki/gefa#Icelandic,5
isl,lesa,,,,lesaną,https://en.wiktionary.org//wiki/lesa#Icelandic,5
isl,reka,,,,wrekaną,https://en.wiktionary.org//wiki/reka#Icelandic,5
isl,biðja,,,,bidjaną,https://en.wiktionary.org//wiki/bi%C3%B0ja#Icelandic,5
isl,liggja,,,,ligjaną,https://en.wiktionary.org//wiki/liggja#Icelandic,5
isl,sitja,,,,sitjaną,https://en.wiktionary.org//wiki/sitja#Icelandic,5
isl,hlaða,,,,hlaþaną,https://en.wiktionary.org//wiki/hla%C3%B0a#Icelandic,6
isl,mala,malaði,möluðu,malað,malaną,https://en.wiktionary.org//wiki/mala#Icelandic,6
isl,vaða,,,,wadaną,https://en.wiktionary.org//wiki/va%C3%B0a#Icelandic,6
isl,baka,,,,bakaną,https://en.wiktionary.org//wiki/baka#Icelandic,6
isl,draga,,,,draganą,https://en.wiktionary.org//wiki/draga#Icelandic,6
isl,fara,,,,faraną,https://en.wiktionary.org//wiki/fara#Icelandic,6
isl,naga,nagaði,nöguðu,nagað,gnaganą,https://en.wiktionary.org//wiki/naga#Icelandic,6
isl,grafa,,,,grabaną,https://en.wiktionary.org//wiki/grafa#Icelandic,6
isl,skafa,,,,skabaną,https://en.wiktionary.org//wiki/skafa#Icelandic,6
isl,slá,,,,slahaną,https://en.wiktionary.org//wiki/sl%C3%A1#Icelandic,6
isl,standa,,,,standaną,https://en.wiktionary.org//wiki/standa#Icelandic,6
isl,hefja,hóf,hófu,hafið,habjaną,https://en.wiktionary.org//wiki/hefja#Icelandic,6
isl,hlæja,,,,hlahjaną,https://en.wiktionary.org//wiki/hl%C3%A6ja#Icelandic,6
isl,skapa,,,,skapjaną,https://en.wiktionary.org//wiki/skapa#Icelandic,6
isl,sverja,,,,swarjaną,https://en.wiktionary.org//wiki/sverja#Icelandic,6
isl,vexa,,,,wahsijaną,https://en.wiktionary.org//wiki/vexa#Icelandic,6
isl,heita,,,,haitaną,https://en.wiktionary.org//wiki/heita#Icelandic,7
isl,höggva,,,,hawwaną,https://en.wiktionary.org//wiki/h%C3%B6ggva#Icelandic,7
isl,hlaupa,,,,hlaupaną,https://en.wiktionary.org//wiki/hlaupa#Icelandic,7
isl,banna,,,,bannaną,https://en.wiktionary.org//wiki/banna#Icelandic,7
isl,hanga,,,,hanhaną,https://en.wiktionary.org//wiki/hanga#Icelandic,7
isl,falla,,,,fallaną,https://en.wiktionary.org//wiki/falla#Icelandic,7
isl,fá,,,,fanhaną,https://en.wiktionary.org//wiki/f%C3%A1#Icelandic,7
isl,halda,,,,haldaną,https://en.wiktionary.org//wiki/halda#Icelandic,7
isl,vaska,,,,waskaną,https://en.wiktionary.org//wiki/vaska#Icelandic,7
isl,blása,,,,blēsaną,https://en.wiktionary.org//wiki/bl%C3%A1sa#Icelandic,7
isl,gráta,,,,grētaną,https://en.wiktionary.org//wiki/gr%C3%A1ta#Icelandic,7
isl,sá,,,,sēaną,https://en.wiktionary.org//wiki/s%C3%A1#Icelandic,7
isl,láta,,,,lētaną,https://en.wiktionary.org//wiki/l%C3%A1ta#Icelandic,7
isl,ráða,,,,rēdaną,https://en.wiktionary.org//wiki/r%C3%A1%C3%B0a#Icelandic,7
isl,glóa,,,,glōaną,https://en.wiktionary.org//wiki/gl%C3%B3a#Icelandic,7
eng,ride,rode,rode,ridden,rīdaną,https://en.wiktionary.org//wiki/ride#English,1
eng,bide,bode,bode,bided,bīdaną,https://en.wiktionary.org//wiki/bide#English,1
eng,bite,bit,bit,bitten,bītaną,https://en.wiktionary.org//wiki/bite#English,1
eng,shine,shone,shone,shone,skīnaną,https://en.wiktionary.org//wiki/shine#English,1
eng,snide,,,,snīþaną,https://en.wiktionary.org//wiki/snide#English,1
eng,rise,rose,rose,risen,rīsaną,https://en.wiktionary.org//wiki/rise#English,1
eng,belave,belaved,belaved,belaved,bilībaną,https://en.wiktionary.org//wiki/belave#English,1
eng,drive,drove,drove,driven,drībaną,https://en.wiktionary.org//wiki/drive#English,1
eng,gripe,griped,griped,griped,grīpaną,https://en.wiktionary.org//wiki/gripe#English,1
eng,,,,,līþaną,,1
eng,shite,shited,shited,shited,skītaną,https://en.wiktionary.org//wiki/shite#English,1
eng,shrive,shrove,shrove,shriven,skrībaną,https://en.wiktionary.org//wiki/shrive#English,1
eng,scrithen,,,,skrīþaną,https://en.wiktionary.org//w/index.php?title=scrithen&action=edit&redlink=1,1
eng,slite,slit,slit,slit,slītaną,https://en.wiktionary.org//wiki/slite#English,1
eng,snew,,,,snīwaną,https://en.wiktionary.org//wiki/snew#English,1
eng,spew,spewed,spewed,spewed,spīwaną,https://en.wiktionary.org//wiki/spew#English,1
eng,sty,stied,stied,stied,stīganą,https://en.wiktionary.org//wiki/sty#English,1
eng,write,wrote,wrote,written,wrītaną,https://en.wiktionary.org//wiki/write#English,1
eng,gut,gutted,gutted,gutted,geutaną,https://en.wiktionary.org//wiki/gut#English,2
eng,bede,bade,bade,bode,beudaną,https://en.wiktionary.org//wiki/bede#English,2
eng,fly,flew,flew,flown,fleuganą,https://en.wiktionary.org//wiki/fly#English,2
eng,brew,brewed,brewed,brewed,brewwaną,https://en.wiktionary.org//wiki/brew#English,2
eng,lie,lay,lay,lain,leuganą,https://en.wiktionary.org//wiki/lie#English,2
eng,flee,fled,fled,fled,fleuhaną,https://en.wiktionary.org//wiki/flee#English,2
eng,fleet,fleeted,fleeted,fleeted,fleutaną,https://en.wiktionary.org//wiki/fleet#English,2
eng,freeze,froze,froze,frozen,freusaną,https://en.wiktionary.org//wiki/freeze#English,2
eng,forbid,forbid,forbid,forbidden,furibeudaną,https://en.wiktionary.org//wiki/forbid#English,2
eng,choose,chose,chose,chosen,keusaną,https://en.wiktionary.org//wiki/choose#English,2
eng,chew,chewed,chewed,chewed,kewwaną,https://en.wiktionary.org//wiki/chew#English,2
eng,creep,crept,crept,crept,kreupaną,https://en.wiktionary.org//wiki/creep#English,2
eng,"merged with descendant of Middle English loken, lokken",,,,lūkaną,https://en.wiktionary.org/https://en.wikipedia.org/wiki/Middle_English,2
eng,reek,reeked,reeked,reeked,reukaną,https://en.wiktionary.org//wiki/reek#English,2
eng,shove,shoved,shoved,shoved,skeubaną,https://en.wiktionary.org//wiki/shove#English,2
eng,skeet,,,,skeutaną,https://en.wiktionary.org//wiki/skeet#English,2
eng,,,,,sūganą,,2
eng,soup,souped,souped,souped,sūpaną,https://en.wiktionary.org//wiki/soup#English,2
eng,thrash,thrashed,thrashed,thrashed,þreskaną,https://en.wiktionary.org//wiki/thrash#English,3
eng,sink,sank,sank,sunk,sinkwaną,https://en.wiktionary.org//wiki/sink#English,3
eng,debris,,,,brestaną,https://en.wiktionary.org//wiki/debris#English,3
eng,,,,,berganą,,3
eng,bind,bound,bound,bound,bindaną,https://en.wiktionary.org//wiki/bind#English,3
eng,burn,burned,burned,burned,brinnaną,https://en.wiktionary.org//wiki/burn#English,3
eng,drink,drank,drank,drunk,drinkaną,https://en.wiktionary.org//wiki/drink#English,3
eng,fight,fought,fought,fought,fehtaną,https://en.wiktionary.org//wiki/fight#English,3
eng,find,,,,finþaną,https://en.wiktionary.org//wiki/find#English,3
eng,yield,yielded,yielded,yielded,geldaną,https://en.wiktionary.org//wiki/yield#English,3
eng,help,helped,helped,helped,helpaną,https://en.wiktionary.org//wiki/help#English,3
eng,rin,ran,ran,run,rinnaną,https://en.wiktionary.org//wiki/rin#English,3
eng,sing,sang,sang,sung,singwaną,https://en.wiktionary.org//wiki/sing#English,3
eng,smelt,,,,smeltaną,https://en.wiktionary.org//wiki/smelt#English,3
eng,spin,spun,spun,spun,spinnaną,https://en.wiktionary.org//wiki/spin#English,3
eng,sprink,sprinked,sprinked,sprinked,springaną,https://en.wiktionary.org//wiki/sprink#English,3
eng,stink,stank,stank,stunk,stinkwaną,https://en.wiktionary.org//wiki/stink#English,3
eng,swell,swelled,swelled,swollen,swellaną,https://en.wiktionary.org//wiki/swell#English,3
eng,swim,swam,swam,swum,swimmaną,https://en.wiktionary.org//wiki/swim#English,3
eng,warp,,,,werpaną,https://en.wiktionary.org//wiki/warp#English,3
eng,word,,,,werþaną,https://en.wiktionary.org//wiki/word#English,3
eng,wind,winded,winded,winded,windaną,https://en.wiktionary.org//wiki/wind#English:_turn_coils,3
eng,win,won,won,won,winnaną,https://en.wiktionary.org//wiki/win#English,3
eng,break,broke,broke,broken,brekaną,https://en.wiktionary.org//wiki/break#English,4
eng,bear,beared,beared,beared,beraną,https://en.wiktionary.org//wiki/bear#English,4
eng,cum,came,came,come,kwemaną,https://en.wiktionary.org//wiki/cum#English,4
eng,numb,,,,nemaną,https://en.wiktionary.org//wiki/numb#English,4
eng,shear,sheared,sheared,shorn,skeraną,https://en.wiktionary.org//wiki/shear#English,4
eng,steal,stole,stole,stolen,stelaną,https://en.wiktionary.org//wiki/steal#English,4
eng,trot,trotted,trotted,trotted,trudaną,https://en.wiktionary.org//wiki/trot#English,4
eng,weigh,,,,weganą,https://en.wiktionary.org//wiki/weigh#English,5
eng,drub,drubbed,drubbed,drubbed,drepaną,https://en.wiktionary.org//wiki/drub#English,5
eng,eat,ate,ate,eaten,etaną,https://en.wiktionary.org//wiki/eat#English,5
eng,forgive,forgave,forgave,forgiven,fragebaną,https://en.wiktionary.org//wiki/forgive#English,5
eng,give,gave,gave,given,gebaną,https://en.wiktionary.org//wiki/give#English,5
eng,lease,leased,leased,leased,lesaną,https://en.wiktionary.org//wiki/lease#English,5
eng,wreak,wreaked,wreaked,wreaked,wrekaną,https://en.wiktionary.org//wiki/wreak#English,5
eng,bid,bid,bid,bid,bidjaną,https://en.wiktionary.org//wiki/bid#English,5
eng,lig,ligged,ligged,ligged,ligjaną,https://en.wiktionary.org//wiki/lig#English,5
eng,sit,sat,sat,sat,sitjaną,https://en.wiktionary.org//wiki/sit#English,5
eng,lade,laded,laded,laden,hlaþaną,https://en.wiktionary.org//wiki/lade#English,6
eng,,,,,malaną,,6
eng,wade,waded,waded,waded,wadaną,https://en.wiktionary.org//wiki/wade#English,6
eng,bake,baked,baked,baked,bakaną,https://en.wiktionary.org//wiki/bake#English,6
eng,drag,dragged,dragged,dragged,draganą,https://en.wiktionary.org//wiki/drag#English,6
eng,fare,fared,fared,fared,faraną,https://en.wiktionary.org//wiki/fare#English,6
eng,nag,nagged,nagged,nagged,gnaganą,https://en.wiktionary.org//wiki/nag#English,6
eng,engrave,engraved,engraved,engraved,grabaną,https://en.wiktionary.org//wiki/engrave#English,6
eng,shave,shaved,shaved,shaved,skabaną,https://en.wiktionary.org//wiki/shave#English,6
eng,slay,slew,slew,slain,slahaną,https://en.wiktionary.org//wiki/slay#English,6
eng,stand,stood,stood,stood,standaną,https://en.wiktionary.org//wiki/stand#English,6
eng,heave,heaved,heaved,heaved,habjaną,https://en.wiktionary.org//wiki/heave#English,6
eng,laugh,laughed,laughed,laughed,hlahjaną,https://en.wiktionary.org//wiki/laugh#English,6
eng,shape,shaped,shaped,shaped,skapjaną,https://en.wiktionary.org//wiki/shape#English,6
eng,swear,swore,swore,sworn,swarjaną,https://en.wiktionary.org//wiki/swear#English,6
eng,wax,waxed,waxed,waxed,wahsijaną,https://en.wiktionary.org//wiki/wax#English,6
eng,hight,,,,haitaną,https://en.wiktionary.org//wiki/hight#English,7
eng,hew,hewed,hewed,hewed,hawwaną,https://en.wiktionary.org//wiki/hew#English,7
eng,lope,loped,loped,loped,hlaupaną,https://en.wiktionary.org//wiki/lope#English,7
eng,ban,banned,banned,banned,bannaną,https://en.wiktionary.org//wiki/ban#English,7
eng,hang,hung,hung,hung,hanhaną,https://en.wiktionary.org//wiki/hang#English,7
eng,fall,fell,fell,fallen,fallaną,https://en.wiktionary.org//wiki/fall#English,7
eng,fang,fanged,fanged,fanged,fanhaną,https://en.wiktionary.org//wiki/fang#English,7
eng,haad,,,,haldaną,https://en.wiktionary.org//wiki/haad#English,7
eng,wash,washed,washed,washed,waskaną,https://en.wiktionary.org//wiki/wash#English,7
eng,blasé,,,,blēsaną,https://en.wiktionary.org//wiki/blas%C3%A9#English,7
eng,regret,regretted,regretted,regretted,grētaną,https://en.wiktionary.org//wiki/regret#English,7
eng,sow,sowed,sowed,sown,sēaną,https://en.wiktionary.org//wiki/sow#English,7
eng,leasing,,,,lētaną,https://en.wiktionary.org//wiki/leasing#English,7
eng,rede,red,red,red,rēdaną,https://en.wiktionary.org//wiki/rede#English,7
eng,glow,glowed,glowed,glowed,glōaną,https://en.wiktionary.org//wiki/glow#English,7
fao,ríða,reið,riðu,riðin,rīdaną,https://en.wiktionary.org//wiki/r%C3%AD%C3%B0a#Faroese,1
fao,bíða,bíðaði,bíðaðu,bíðað,bīdaną,https://en.wiktionary.org//wiki/b%C3%AD%C3%B0a#Faroese,1
fao,bíta,beit,bitu,bitin,bītaną,https://en.wiktionary.org//wiki/b%C3%ADta#Faroese,1
fao,skína,skein,skinu,skinin,skīnaną,https://en.wiktionary.org//wiki/sk%C3%ADna#Faroese,1
fao,sníða,,,,snīþaną,https://en.wiktionary.org//wiki/sn%C3%AD%C3%B0a#Faroese,1
fao,rísa,reis,risu,risin,rīsaną,https://en.wiktionary.org//wiki/r%C3%ADsa#Faroese,1
fao,blíva,bleiv,blivu,blivin,bilībaną,https://en.wiktionary.org//wiki/bl%C3%ADva#Faroese,1
fao,dríva,,,,drībaną,https://en.wiktionary.org//w/index.php?title=dr%C3%ADva&action=edit&redlink=1,1
fao,grípa,,,,grīpaną,https://en.wiktionary.org//wiki/gr%C3%ADpa#Faroese,1
fao,líða,leið,liðu,liðin,līþaną,https://en.wiktionary.org//wiki/l%C3%AD%C3%B0a#Faroese,1
fao,skíta,skeit,skitu,skitin,skītaną,https://en.wiktionary.org//wiki/sk%C3%ADta#Faroese,1
fao,skriva,skrivaði,skrivaðu,skrivað,skrībaną,https://en.wiktionary.org//wiki/skriva#Faroese,1
fao,skríða,,,,skrīþaną,https://en.wiktionary.org//wiki/skr%C3%AD%C3%B0a#Faroese,1
fao,slíta,sleit,slitu,slitin,slītaną,https://en.wiktionary.org//wiki/sl%C3%ADta#Faroese,1
fao,,,,,snīwaną,,1
fao,spýggja,spýði,spýðu,spýð,spīwaną,https://en.wiktionary.org//wiki/sp%C3%BDggja#Faroese,1
fao,stíga,steig,stigu,stigin,stīganą,https://en.wiktionary.org//wiki/st%C3%ADga#Faroese,1
fao,rita,,,,wrītaną,https://en.wiktionary.org//wiki/rita#Faroese,1
fao,gýta,,,,geutaną,https://en.wiktionary.org//w/index.php?title=g%C3%BDta&action=edit&redlink=1,2
fao,bjóða,beyð,buðu,boðin,beudaną,https://en.wiktionary.org//wiki/bj%C3%B3%C3%B0a#Faroese,2
fao,fljúga,,,,fleuganą,https://en.wiktionary.org//wiki/flj%C3%BAga#Faroese,2
fao,bryggja,,,,brewwaną,https://en.wiktionary.org//wiki/bryggja#Faroese,2
fao,ljúgva,,,,leuganą,https://en.wiktionary.org//w/index.php?title=lj%C3%BAgva&action=edit&redlink=1,2
fao,flýggja,,,,fleuhaną,https://en.wiktionary.org//w/index.php?title=fl%C3%BDggja&action=edit&redlink=1,2
fao,flóta,fleyt,flutu,flotin,fleutaną,https://en.wiktionary.org//wiki/fl%C3%B3ta#Faroese,2
fao,frosin,,,,freusaną,https://en.wiktionary.org//wiki/frosin#Faroese,2
fao,,,,,furibeudaną,,2
fao,kjósa,keys,kusu,kosin,keusaną,https://en.wiktionary.org//wiki/kj%C3%B3sa#Faroese,2
fao,tyggja,,,,kewwaną,https://en.wiktionary.org//wiki/tyggja#Faroese,2
fao,krúpa,kreyp,krupu,kropin,kreupaną,https://en.wiktionary.org//wiki/kr%C3%BApa#Faroese,2
fao,lúka,leyk,luku,lokin,lūkaną,https://en.wiktionary.org//wiki/l%C3%BAka#Faroese,2
fao,rúka,reyk,ruku,rokin,reukaną,https://en.wiktionary.org//wiki/r%C3%BAka#Faroese,2
fao,,,,,skeubaną,,2
fao,skjóta,skeyt,skutu,skotin,skeutaną,https://en.wiktionary.org//wiki/skj%C3%B3ta#Faroese,2
fao,súgva,seyg,sugu,sogin,sūganą,https://en.wiktionary.org//wiki/s%C3%BAgva#Faroese,2
fao,súpa,seyp,supu,sopin,sūpaną,https://en.wiktionary.org//wiki/s%C3%BApa#Faroese,2
fao,treskja,,,,þreskaną,https://en.wiktionary.org//wiki/treskja#Faroese,3
fao,søkka,sakk,sukku,sokkin,sinkwaną,https://en.wiktionary.org//wiki/s%C3%B8kka#Faroese,3
fao,bresta,brast,brustu,brostin,brestaną,https://en.wiktionary.org//wiki/bresta#Faroese,3
fao,bjarga,bjargaði,bjargaðu,bjargað,berganą,https://en.wiktionary.org//wiki/bjarga#Faroese,3
fao,binda,bant,bundu,bundin,bindaną,https://en.wiktionary.org//wiki/binda#Faroese,3
fao,brenna,,,,brinnaną,https://en.wiktionary.org//wiki/brenna#Faroese,3
fao,drekka,drakk,drukku,drukkin,drinkaną,https://en.wiktionary.org//wiki/drekka#Faroese,3
fao,,,,,fehtaną,,3
fao,finna,,,,finþaną,https://en.wiktionary.org//wiki/finna#Faroese,3
fao,gjalda,galt,guldu,goldin,geldaną,https://en.wiktionary.org//wiki/gjalda#Faroese,3
fao,hjálpa,hjálpti,hjálptu,hjálpt,helpaną,https://en.wiktionary.org//wiki/hj%C3%A1lpa#Faroese,3
fao,renna,,,,rinnaną,https://en.wiktionary.org//wiki/renna#Faroese,3
fao,syngja,sang,sungu,sungin,singwaną,https://en.wiktionary.org//wiki/syngja#Faroese,3
fao,,,,,smeltaną,,3
fao,spinna,spann,spunnu,spunnin,spinnaną,https://en.wiktionary.org//wiki/spinna#Faroese,3
fao,springa,,,,springaną,https://en.wiktionary.org//wiki/springa#Faroese,3
fao,støkka,,,,stinkwaną,https://en.wiktionary.org//wiki/st%C3%B8kka#Faroese,3
fao,svella,,,,swellaną,https://en.wiktionary.org//wiki/svella#Faroese,3
fao,svimja,svam,svumu,svomið,swimmaną,https://en.wiktionary.org//wiki/svimja#Faroese,3
fao,verpa,varp,vurpu,vorpin,werpaną,https://en.wiktionary.org//wiki/verpa#Faroese,3
fao,verða,varð,vórðu,vorðin,werþaną,https://en.wiktionary.org//wiki/ver%C3%B0a#Faroese,3
fao,vinda,vant,vundu,vundin,windaną,https://en.wiktionary.org//wiki/vinda#Faroese,3
fao,vinna,,,,winnaną,https://en.wiktionary.org//wiki/vinna#Faroese,3
fao,,,,,brekaną,,4
fao,bera,,,,beraną,https://en.wiktionary.org//wiki/bera#Faroese,4
fao,koma,,,,kwemaną,https://en.wiktionary.org//wiki/koma#Faroese,4
fao,nema,nam,numu,nomin,nemaną,https://en.wiktionary.org//wiki/nema#Faroese,4
fao,skera,skar,skóru,skorin,skeraną,https://en.wiktionary.org//wiki/skera#Faroese,4
fao,stjala,stjól,stjólu,stolin,stelaną,https://en.wiktionary.org//wiki/stjala#Faroese,4
fao,troða,,,,trudaną,https://en.wiktionary.org//wiki/tro%C3%B0a#Faroese,4
fao,viga,,,,weganą,https://en.wiktionary.org//wiki/viga#Faroese,5
fao,drepa,drap,drópu,dripin,drepaną,https://en.wiktionary.org//wiki/drepa#Faroese,5
fao,eta,,,,etaną,https://en.wiktionary.org//wiki/eta#Faroese,5
fao,fyrigeva,,,,fragebaną,https://en.wiktionary.org//w/index.php?title=fyrigeva&action=edit&redlink=1,5
fao,geva,gav,góvu,givin,gebaną,https://en.wiktionary.org//wiki/geva#Faroese,5
fao,lesa,las,lósu,lisin,lesaną,https://en.wiktionary.org//wiki/lesa#Faroese,5
fao,reka,rak,róku,rikin,wrekaną,https://en.wiktionary.org//wiki/reka#Faroese,5
fao,biðja,bað,bóðu,biðin,bidjaną,https://en.wiktionary.org//wiki/bi%C3%B0ja#Faroese,5
fao,liggja,lá,lógu,ligin,ligjaną,https://en.wiktionary.org//wiki/liggja#Faroese,5
fao,sita,sat,sótu,sitin,sitjaną,https://en.wiktionary.org//wiki/sita#Faroese,5
fao,laða,,,,hlaþaną,https://en.wiktionary.org//wiki/la%C3%B0a#Faroese,6
fao,mala,mól,mólu,malin,malaną,https://en.wiktionary.org//wiki/mala#Faroese,6
fao,vaða,vóð,vóðu,vaðin,wadaną,https://en.wiktionary.org//wiki/va%C3%B0a#Faroese,6
fao,baka,bakaði,bakaðu,bakað,bakaną,https://en.wiktionary.org//wiki/baka#Faroese,6
fao,draga,dró,drógu,drigin,draganą,https://en.wiktionary.org//wiki/draga#Faroese,6
fao,fara,fór,fóru,farin,faraną,https://en.wiktionary.org//wiki/fara#Faroese,6
fao,naga,,,,gnaganą,https://en.wiktionary.org//wiki/naga#Faroese,6
